Country,2006-2010,2011-2015,2016-2019
Afghanistan,0.000,3.242,16.735
Albania,0.000,28.330,63.433
Algeria,0.000,12.481,80.424
AmericanSamoa,0.000,0.000,0.000
Andorra,0.000,38.163,55.504
Angola,0.845,9.239,17.157
Anguilla,0.000,0.000,0.000
AntiguaandBarbuda,0.000,21.678,46.837
Argentina,4.944,38.793,80.652
Armenia,9.346,33.145,69.978
Aruba,0.000,20.476,0.000
Ascension,0.000,0.000,0.000
Australia,56.087,105.708,130.920
Austria,20.272,60.276,98.680
Azerbaijan,1.762,40.530,58.619
Bahamas,0.000,20.472,73.980
Bahrain,1.815,92.403,138.756
Bangladesh,0.017,6.434,38.415
Barbados,0.000,35.183,48.176
Belarus,12.738,42.587,79.990
Belgium,6.198,44.375,75.963
Belize,0.000,5.884,43.810
Benin,0.000,1.764,15.352
Bermuda,0.000,7.880,8.873
Bhutan,0.174,20.020,92.568
Bolivia(PlurinationalStateof),0.685,14.020,73.563
BosniaandHerzegovina,3.584,22.522,47.522
Botswana,1.510,52.220,75.200
Brazil,5.605,54.268,89.062
BritishVirginIslands,0.000,49.553,0.000
BruneiDarussalam,1.644,76.664,131.049
Bulgaria,18.336,58.242,96.275
BurkinaFaso,0.000,6.693,27.516
Burundi,0.000,2.156,10.969
CaboVerde,0.000,36.864,70.505
Cambodia,1.048,18.636,74.214
Cameroon,0.000,0.920,14.076
Canada,29.359,48.840,74.924
CaymanIslands,0.000,0.000,0.000
CentralAfricanRep.,0.000,1.022,4.675
Chad,0.000,0.362,3.478
Chile,6.005,37.626,86.605
China,1.448,28.868,85.475
CocosKeelingIslands,0.000,0.000,0.000
Colombia,1.618,27.486,51.820
Comoros,0.000,0.000,31.760
Congo(Rep.ofthe),0.000,4.158,6.046
CookIslands,0.000,0.093,74.256
CostaRica,2.460,71.378,94.863
Croatia,5.680,61.657,79.657
Cuba,0.000,0.000,8.112
Curacao,0.000,25.682,56.684
Cyprus,38.724,51.842,107.676
CzechRepublic,26.707,56.172,85.657
Côted'Ivoire,0.000,18.294,56.216
Dem.People'sRep.ofKorea,0.000,12.865,14.616
Dem.Rep.oftheCongo,0.000,3.872,16.203
Denmark,29.679,101.680,132.561
Djibouti,0.000,1.993,18.782
Dominica,0.000,14.584,69.625
DominicanRep.,1.107,24.426,59.560
Ecuador,8.812,24.725,51.881
Egypt,13.548,33.731,52.964
ElSalvador,2.052,11.574,48.791
EquatorialGuinea,0.000,0.005,0.087
Eritrea,0.000,0.000,0.000
Estonia,24.202,86.258,139.483
Eswatini,0.141,6.812,15.549
Ethiopia,0.113,4.000,9.533
Falkland(Malvinas)Is.,0.000,0.000,0.000
FaroeIslands,0.000,0.000,93.495
Fiji,0.427,32.437,112.390
Finland,54.860,119.593,151.414
France,23.159,58.947,89.212
FrenchGuiana,0.000,0.000,0.000
FrenchPolynesia,0.722,9.027,57.582
Gabon,0.000,9.402,87.686
Gambia,0.338,4.861,27.509
Georgia,5.980,27.596,70.092
Germany,19.453,51.728,81.275
Ghana,6.750,43.394,85.465
Gibraltar,0.000,22.716,78.464
Greece,19.068,38.889,72.863
Greenland,0.328,3.715,3.547
Grenada,0.000,6.276,40.977
Guadeloupe,0.000,0.000,0.000
Guam,0.000,0.000,0.000
Guatemala,2.824,6.570,15.189
Guernsey,0.000,0.000,0.000
Guinea,0.000,5.619,23.499
Guinea-Bissau,0.000,0.000,17.533
Guyana,0.000,0.095,13.312
Haiti,0.000,0.104,23.892
Honduras,1.202,10.713,32.208
HongKong,China,36.775,91.291,133.893
Hungary,4.888,30.512,64.953
Iceland,30.545,76.903,116.839
India,0.000,4.075,31.680
Indonesia,9.616,29.000,74.498
Iran(IslamicRepublicof),0.000,6.544,62.800
Iraq,0.000,3.603,32.965
Ireland,49.256,73.627,103.179
Israel,32.669,56.529,106.752
Italy,23.219,62.507,87.895
Jamaica,1.444,39.940,52.384
Japan,82.386,115.859,177.071
Jersey,0.000,0.000,0.000
Jordan,0.022,38.989,80.426
